time,pressure,iso6,drain,temp,vibration,FI_time,FI_pressure,FI_contam,FI_drain,FI_temp,FI_vibration,HI,grade,HI_score
0,27,15,2,65,1.12,0,0,0,0,0,0,0,1,100
1,32.6568542494924,15.0001,2.00007,65.2374597596773,1.120296020148,5e-05,0,4.99999999998835e-05,4.32098765432188e-05,5e-05,4.95016969897824e-05,4.04131326619206e-05,1,99.9959586867338
2,35,15.0002,2.00049,65.4748613861719,1.12059204059204,0.0001,0.000400000000000002,9.99999999997669e-05,0.000302469135802532,0.0001,9.90034434855977e-05,0.000205641085089273,1,99.9794358914911
3,32.6568542494924,15.0003,2.00021,65.7121467606446,1.12088806133207,0.00015,0.000400000000000002,0.00014999999999965,0.000129629629629656,0.00015,0.000148505239476529,0.00018123941283648,1,99.9818760587164
4,27,15.0004,2.00028,65.9492577929397,1.12118408236814,0.0002,0.000400000000000002,0.000200000000000422,0.000172839506172875,0.0002,0.000198007084973531,0.0002216525603493,1,99.9778347439651
5,21.3431457505076,15.0005,2.00035,66.1861364359177,1.12148010370026,0.00025,0.000400000000000002,0.000250000000000306,0.000216049382716094,0.00025,0.000247508979976602,0.00026206571281255,1,99.9737934287187
6,19,15.0006,2.00042,66.4227246997777,1.12177612532836,0.0003,0.000400000000000002,0.000300000000000189,0.000259259259259313,0.0003,0.000297010924474753,0.000302478870225307,1,99.9697521129775
7,21.3431457505076,15.0007,2.00049,66.6589646663657,1.1220721472525,0.00035,0.000400000000000002,0.000350000000000072,0.000302469135802532,0.00035,0.000346512918478974,0.000342892032588672,1,99.9657107967411
8,27,15.0008,2.00056,66.8947985034646,1.1223681694727,0.0004,0.000400000000000002,0.000399999999999956,0.000345679012345751,0.0004,0.000396014961989265,0.000383305199902643,1,99.9616694800097
9,32.6568542494924,15.0009,2.00063,67.1301684790637,1.12266419198887,0.00045,0.000400000000000002,0.000449999999999839,0.000388888888888695,0.00045,0.000445517054994634,0.00042371837216604,1,99.9576281627834
10,35,15.001,2.00105,67.3650169756035,1.12296021480102,0.0005,0.000800000000000003,0.000499999999999723,0.000648148148148282,0.0005,0.000495019197495084,0.000588946364193938,1,99.9411053635806
11,32.6568542494924,15.0011,2.00077,67.5992865041911,1.12325623790929,0.00055,0.000800000000000003,0.000549999999999606,0.000475308641975133,0.00055,0.000544521389512593,0.000564544731543721,1,99.9435455268456
